name	Mutations_of_interest_vs_Group_control_diff	Mutations_of_interest_vs_Group_control_p.val
ARGLU1	-0.156141419121724	0.361674240113753
ARHGAP1	-0.0169871389759031	0.92830934107569
ARHGAP15	0.232682176662877	0.264293091929385
ARHGAP17	-0.164319231630753	0.470136309551694
ARHGAP18	0.0740894986011131	0.803040156037146
ARHGAP25	0.082699972091703	0.689120612987668
ARHGAP30	-0.014917742670546	0.942087592130822
ARHGAP4	-0.377589462509722	0.0244890722530252
ARHGDIA	0.0548982318840601	0.785100933293092
ARHGDIB	0.289221043478257	0.182217049017919
ARHGEF1	-0.177570115942025	0.382552622456916
ARHGEF2	-0.266550893690923	0.0476701614786359
ARHGEF6	0.281788967531035	0.174487283846834
ARHGEF7	0.332167710669502	0.152966373177714
ARID1A	0.0165105815180873	0.909607197396325
ARID1B	0.377763826209527	0.116487639505187
ARID2	-0.0131635978575471	0.941406989754363
ARID4A	-0.0428639116167897	0.912700688721522
ARL1	-0.113518614316977	0.526408466943542
ARL2	-0.130250884427335	0.578379290176381
ARL2BP	0.56435106215144	0.10936893916488
ARL3	-0.038020826092179	0.866048116296033
ARL5A	-0.171786251232685	0.449460262131899
ARL6IP4	0.311864535761627	0.163685857162447
ARL6IP5	-0.199617855072461	0.492114905139796
ARL8A	-0.563138492753627	0.0191527721638123
ARL8B	-0.101232325512576	0.771776177616679
ARMC1	0.26554143621486	0.128929427733643
ARMC10	0.257751012504347	0.218668875839468
ARMC6	0.63622444598977	0.00429321103136413
ARMC8	0.127324537879746	0.528700382115369
ARMT1	-0.160925754114658	0.546912437247359
ARPC1A	0.226405089313234	0.364448345042545
ARPC1B	-0.0655626465140422	0.721626757623397
ARPC2	-0.197014434782609	0.229095396588769
ARPC3	-0.166634869565222	0.315410144158798
ARPC4	0.195080313535794	0.397104136571797
ARPC5	-0.0634547596774304	0.746804107318883
ARPC5L	0.0673708762862262	0.710113826912929
ARPP19	0.168707001491704	0.307360077580825
ARRB1	0.0764766379831556	0.694783509642865
ARRB2	-0.169874296374029	0.464565385165786
ARRDC1	-0.322402295319769	0.0780489047032705
ARSA	0.0128918020378492	0.961728041000872
ARSB	-0.340098510170503	0.215578489665067
ASAH1	-0.294618669114495	0.218475870367071
ASAP1	-0.0148612300421558	0.951703624913456
ASCC2	0.0927075758927725	0.622997980650776
ASCC3	0.132357009758504	0.610655550969038
ASF1A	-0.196383851984798	0.35385163922163
ASH2L	0.0979763949274677	0.436992725761355
ASL	-0.0670715145309231	0.812602936907672
ASMTL	0.440887459095817	0.124201544546848
ASNA1	-0.0239479192647494	0.843374684059658
ASPH	0.00413472718821595	0.985363002542306
ASPSCR1	0.275630799355824	0.187461564839421
ASUN	-0.0155802082339047	0.914563326064915
ATAD1	0.0440055910690234	0.845949222994614
ATAD2	0.191882146214388	0.419380234323708
ATAD2B	0.118868040983443	0.540841086373259
ATAD3A	-0.00353301449275989	0.983899410920946
ATAD3B	0.171525821786176	0.609580098520567
ATF1	0.00656441272228037	0.974006013307401
ATG12	-0.136518660196602	0.458819360577887
ATG2B	0.299253225360962	0.272762090159574
ATG3	-0.0950537437162602	0.701651798972182
ATG7	-0.299428797385035	0.226724129050474
ATIC	0.0261467379434102	0.90027613714188
ATL1	-0.0363827273826356	0.90578001916009
ATL2	-0.450963158335414	0.0578984492743386
ATL3	-0.269924815523833	0.188246832077646
ATM	-0.410952360200433	0.0339010765758987
ATP11A	-0.311887194636526	0.177456363681539
ATP11B	-0.33228956211993	0.217691465401578
ATP13A1	-0.27925261931215	0.097255322536901
ATP1A1	0.102539025529929	0.551479766106666
ATP1B3	0.132381904354396	0.413838949309125
ATP2A1	-0.16234501449275	0.36823237340257
ATP2A2	-0.213396521739128	0.215322303436527
ATP2A3	-0.0462120134090256	0.866819976677349
ATP2B4	0.212306666666663	0.231374754865605
ATP5A1	0.0793601449275236	0.616295317919775
ATP5B	0.0959661449275266	0.525190881641128
ATP5C1	0.094481710144926	0.55717979158458
ATP5D	0.0221731304347834	0.933737324921531
ATP5E	0.365198299572032	0.110415628712931
ATP5F1	0.0116881739130399	0.928156811072069
ATP5H	0.0495111014492693	0.777752203101763
ATP5I	0.251003913043473	0.224502745589298
ATP5J	0.027874359014838	0.914971963577603
ATP5J2-PTCD1	-0.0947766474857481	0.819581848108389
ATP5L	0.0327400657976469	0.872801335629465
ATP5O	-0.0392917989498756	0.809841897538306
ATP5S	0.201142810812719	0.337940596818511
ATP6AP1	-0.272072535456012	0.228388322870359
ATP6AP2	-0.291761604475822	0.187927391333536
ATP6V0A1	-0.585148835083258	0.0132178582652804
ATP6V0A2	-0.312294536651384	0.169483291744151
ATP6V0D1	-0.472830597075383	0.0784955229225947
ATP6V1A	0.117679762983474	0.527799476046808
ATP6V1B2	0.174261566329893	0.301435493394027
ATP6V1C1	0.111765319922661	0.495060890854854
ATP6V1D	0.0677651798052565	0.660834556940819
ATP6V1E1	0.0607460149943222	0.72533324282319
ATP6V1F	0.216452758828101	0.239949459651855
ATP6V1G1	0.26262927842437	0.179948191416523
ATP6V1H	0.375198191742903	0.0217847314370463
ATP8A1	-0.7523124729783	0.0287825401582704
ATPIF1	-0.0763187251475017	0.817447968645262
ATRX	-0.10677846609493	0.498371863391342
ATXN10	0.404196475261431	0.0547834161578219
ATXN2	-0.171029771985761	0.428252003551251
ATXN2L	0.18345146109808	0.288562174674617
ATXN3	0.245027107942377	0.49549287013328
AUH	-0.0913987161768119	0.788945816843203
AUP1	-0.414653920990485	0.00838608189823159
AZU1	-1.01607385507247	0.13522570901894
B2M	-0.564108782608688	0.0183897485542169
B3GALT6	0.023804594548654	0.897966061580403
B3GAT3	-0.0150277746364758	0.94460619611716
B4DLN1	0.195940355971992	0.308674423780851
B4GALT7	-0.297608195793636	0.24538510009291
BABAM1	0.03236118856994	0.843818930707629
BAD	0.0452201652405542	0.805168968704651
BAG2	0.190891180615667	0.617363216978987
BAG6	0.150860551274608	0.266627360355766
BAK1	0.302812709879786	0.330016168098397
BANF1	-0.0764496811594242	0.606244205893056
BAP18	0.000775437056365291	0.996232346833864
BASP1	-0.116585478260873	0.815301235871282
BAX	-0.037767159420298	0.81439159731182
BAZ1A	-0.295312578525969	0.135440305435516
BAZ1B	-0.0238917458565915	0.878924577477162
BCAP29	-0.386169392446368	0.192470251706926
BCAP31	-0.347533942028981	0.0551715325102237
BCAS2	-0.00398390285251438	0.977741939683818
BCAT1	0.650208706920276	0.0936976762465856
BCAT2	-0.119929667065435	0.615608639363003
BCCIP	0.333691364851049	0.154979332780871
BCKDHA	-0.206848398489466	0.269628376259739
BCL10	0.0608309159495199	0.76495447389419
BCL11A	1.01452520761784	0.00466250581725556
BCL2	-0.196177185269145	0.637202563290525
BCL2L13	-0.00150802907612047	0.994448919440767
BCLAF1	0.188574875660873	0.204641214117653
BCR	-0.19553311223871	0.402439223531628
BCS1L	-0.311847107477565	0.0940652772991358
BDH1	-0.243201525828592	0.30508917674386
BDH2	1.08599130310222	0.00538246480139185
BET1	-0.0991891325103271	0.587949526932539
BET1L	0.114300821961949	0.646544550016617
BICD2	-0.12445352763344	0.584108842821209
BID	-0.0618659343215739	0.756917656828641
BIN1	0.322717352387158	0.380480614813752
BIN2	-0.125670645876468	0.627342607115563
BIRC6	-0.185601969540725	0.339205817712591
BLMH	0.538697728689264	0.00798549815358755
BLOC1S1	0.32578543412165	0.139792483620565
BLOC1S2	0.261898078271805	0.214150513099789
BLOC1S5	-0.219164172451249	0.309417275999643
BLVRA	0.138016946134208	0.739401860745408
BLVRB	0.484947710144922	0.157488749213634
BMP2K	0.27961958123114	0.255075108434941
BMS1	-0.114704799192559	0.546613774162665
BNIP1	-0.0676611929231914	0.758138530455861
BNIP3L	0.0787578600597989	0.730157059885576
BOD1L1	0.0967788403453316	0.53346541835418
BOLA1	0.109510386118684	0.620671232003443
BOLA2	0.322904279463152	0.271313708253614
BOP1	0.0132338312483604	0.946266611694701
BPGM	0.67981305942261	0.0309489293779152
BPHL	-0.0616954935364742	0.84111830889485
BPI	-1.47761074007629	0.0505908659222306
BPNT1	-0.208453517023827	0.448645395185729
BRAT1	-0.241721876303188	0.285764419517216
BRCC3	0.294876096868183	0.363745721033929
BRD1	-0.102381528221093	0.619485236571645
BRD2	0.043167049354695	0.796212374224223
BRD3	-0.0208282380395985	0.898168301431969
BRD4	-0.184218889358579	0.208252342684979
BRD7	0.115284336460528	0.58487372700555
BRD9	-0.518243075706925	0.161283247885049
BRE	-0.140966715035484	0.491017670778872
BRI3BP	-0.286285643856147	0.195588277870492
BRIX1	-0.193009963337357	0.34329997925161
BRK1	-0.110099450216488	0.640030491833067
BRMS1	-0.0144669773125159	0.959149843567538
BROX	0.545176993430243	0.0184125242803358
BRPF1	-0.157545275837851	0.382990664137618
BSDC1	0.145082748640689	0.591949751562214
BSG	0.347329357460232	0.138234514720426
BST1	-0.944090957687916	0.0183314555530005
BST2	-0.00733858357058992	0.981492273570687
BTAF1	-0.140435086531864	0.449640683536994
BTD	-0.077057961715866	0.876512998727878
BTF3	0.35731699244015	0.0992226200871531
BTF3L4	-0.0909516972003317	0.509448192356436
BTK	-0.0215256408466544	0.912057880277947
BUB3	0.165017314237183	0.271590336892533
BUD13	0.224173235448436	0.264643983382115
BUD31	-0.0270826740601624	0.935470144694414
BYSL	0.0807231055459798	0.687455142742525
BZW1	0.231601825761118	0.264093416962108
BZW2	0.139906842834964	0.569815971086816
C10orf32-ASMT	-0.0492492576773014	0.756296475679065
C10orf54	-0.210582580462788	0.5011721029282
C11orf54	0.323768751517459	0.182244002556905
C11orf68	-0.0681695589577913	0.777990108192094
C11orf73	0.344691745316013	0.109103477807528
C11orf98	0.507466598588532	0.0418597530127578
C12orf10	0.0632036828934623	0.732282045020936
C12orf43	0.206385988664602	0.347393756835064
C14orf1	-0.219063676093025	0.437696683560678
C14orf142	-0.0783691436828171	0.750955080416569
C14orf159	0.766691461932609	0.039401819157162
C14orf166	0.0525568192553578	0.720174924432728
C16orf13	0.0315846760216409	0.877924522217871
C16orf58	0.267114521570903	0.375661550553018
C16orf62	-0.253971733041086	0.123512561515826
C17orf59	-0.143815640373273	0.40169327855181
C17orf62	-0.301393546639655	0.127570836698248
C17orf75	0.05764600787281	0.796919755316241
C17orf85	0.444511949688319	0.00878331474694149
C18orf32	-0.0558626571478271	0.864788358615016
C19orf25	0.0382840006569332	0.876665577936427
C19orf43	0.167197955046188	0.329661890275814
C19orf52	0.0618485229566303	0.762053976672788
C19orf53	0.158062940027396	0.565286842988453
C19orf66	-0.137716286009187	0.495767589802637
C1orf123	0.0816469254143577	0.602377852302422
C1orf174	0.320406790396119	0.203844955180596
C1orf50	0.120694257227584	0.614764316379711
C1orf52	0.512208872936155	0.109303233207326
C1QBP	0.292095942028975	0.14738698917282
C20orf27	-0.0976111881023698	0.797582736626868
C2CD5	0.273121466426488	0.215742772160615
C2orf47	0.0266778300154797	0.858991105401731
C2orf49	0.444215124491452	0.0486409918454287
C3	-0.12760860869566	0.853020220501377
C4A	-0.454256052473994	0.319708865823692
C4orf27	0.434662784439418	0.0442788669122065
C5orf51	-0.0150574078301275	0.951870385397479
C7orf50	0.0340050522950737	0.866010166961246
C8orf82	0.439348624753519	0.0916912971870456
C9orf114	-0.0665132417342154	0.731428604123576
C9orf142	0.307059127095066	0.102744135422814
C9orf41	-0.139238177745437	0.577693478875844
C9orf64	-0.710970463478894	0.0033223423725127
C9orf78	0.0159454342152987	0.942175786408425
C9orf89	-0.0201994810656991	0.919850978727609
CA1	1.55071307347168	0.0400851324879325
CA2	1.25071075362318	0.0178057355394864
CAB39	-0.0560585558954045	0.762606586151472
CACYBP	0.343290149168936	0.198197920806067
CAD	0.157839245080989	0.28055521534707
CALM1	0.316997420289848	0.0778895652602766
CALR	-0.529226202898549	0.0189565079331294
CALU	0.147464907229548	0.561666503484808
CAMK1	-0.202811908390045	0.55350031472503
CAMK2G	0.043016538575408	0.78089868954249
CAND1	0.34664263768116	0.0292505535873196
CANX	-0.676800782608698	0.000407743816988654
CAP1	-0.0225954202898642	0.912225288779986
CAPG	-0.0971561904603284	0.81781949652446
CAPN1	0.093685266738543	0.573523010575607
CAPN2	0.0104403366616097	0.973424214506775
CAPN7	0.305840569787682	0.239369166234994
CAPNS1	-0.0608884617823691	0.735158382185827
CAPRIN1	0.160791864228898	0.328490642196333
CAPZA1	0.248142086956516	0.174114627980319
CAPZA2	0.168117449275357	0.363354552383503
CAPZB	0.135951812615481	0.428983426801788
CARD6	-1.11708995833112	0.000372003558104935
CARD8	0.171721441486989	0.389339356218648
CARD9	-0.267779528419602	0.369199501438164
CARHSP1	0.247071101449272	0.266326906296757
CARKD	-0.0874033413167918	0.728034142480712
CARM1	0.121835024339298	0.701860627511941
CARS	0.0850915149645957	0.604639118976684
CARS2	0.0524508119984617	0.80575942028488
CASC3	-0.12651120907544	0.593755111289937
CASC4	0.00317927231832549	0.986915368454434
CASP1	-0.116480201816067	0.67850878107174
CASP2	-0.0668420310028797	0.789464136940574
CASP3	0.00424818677654315	0.986389372902388
CASP4	-0.0101835756903554	0.963360030401564
CASP6	0.413075483562096	0.105254230740426
CASP8	0.088056953557615	0.694560113550308
CAST	0.519806440300194	0.0924558535393478
CAT	0.400632463768112	0.221153628052835
CBFA2T3	-0.622473694011978	0.0305056431642636
CBFB	0.190269793814586	0.283550830332344
CBL	-0.138412133722539	0.580502109302431
CBR1	0.277842781590241	0.240813362250479
CBR4	-0.176023981967116	0.517354250605589
CBX1	0.00789965667780734	0.97261551895531
CBX2	0.38898106160619	0.258437748369754
CBX3	0.0513329462768226	0.735494844829127
CBX5	-0.00959649278943076	0.962440215047563
CBX8	0.307507665573041	0.267099203467789
CC2D1A	-0.0800183047618184	0.653725506712031
CCAR1	0.0217200826658157	0.872055317003027
CCAR2	0.20950784557402	0.159998085182228
CCBL2	0.241132950529202	0.255530923467619
CCDC101	-0.277448289789845	0.238456418530246
CCDC115	-0.0607668695180159	0.858165534302262
CCDC12	0.545720944225017	0.0993645392080083
CCDC124	0.0453580963530698	0.80102148952067
CCDC127	0.482163123350734	0.0454749961861049
CCDC134	-0.163145260116174	0.528169469471648
CCDC22	-0.222276809559856	0.138529942724881
CCDC37	-0.188425971014492	0.779178545839984
CCDC43	0.365984715348231	0.12079197342341
CCDC47	-0.198408022769389	0.232785218363668
CCDC51	-0.024783073323956	0.911223599342895
CCDC53	-0.00153385709922027	0.99431920430532
CCDC58	0.137731565582257	0.491173272683049
CCDC6	0.248787363414232	0.194159708077272
CCDC82	-0.0608823490913259	0.732735262902489
CCDC86	0.164303321733001	0.502606974211261
CCDC88A	-0.425307704589889	0.041072556139655
CCDC88B	-0.235483802540029	0.440037309124583
CCDC9	-0.268197266270828	0.22444318167596
CCDC90B	-0.582876289855076	0.509038495933971
CCDC91	-0.0589174916218589	0.818538447744334
CCDC93	-0.0061615707916971	0.973822374147325
CCDC97	0.0778611427731946	0.694521533129976
CCM2	-0.280854749244225	0.123850758663059
CCNK	0.0727998313520075	0.675038077198816
CCNL1	0.319616362612937	0.323409657099291
CCNT1	-0.0827490808152032	0.67644634672346
CCNY	0.132092883120965	0.55678619215631
CCP110	-0.23946759881726	0.339674943241509
CCS	0.0637852375318779	0.76532877557054
CCSMST1	0.148655485929259	0.566944722713949
CCT2	0.113311739130431	0.442471027385633
CCT3	0.143289573335451	0.346231041910382
CCT4	0.136851185687696	0.402950760897009
CCT5	0.0106186403111366	0.950764861743796
CCT6A	0.0493774782608689	0.721591263092697
CCT7	0.140384334784983	0.431218367386705
CCT8	0.387651033025872	0.0386958997799117
CCZ1B	-0.163735964856649	0.389313467486848
CD151	0.341899756538577	0.28188643619918
CD2AP	0.248628458017393	0.297822126406324
CD2BP2	-0.0891240299575777	0.591776392001431
CD36	0.471527319941575	0.331542624269263
CD38	-0.372037911012363	0.225178049398215
CD3E	0.166852153394862	0.732535200870649
CD44	-0.129421826086958	0.583713058055268
CD47	0.251253921508997	0.403729754783001
CD58	0.247264469415699	0.427546869101795
CD59	1.44417926749971	0.00793560994020986
CD63	-1.43727747043619	0.00728764398321125
CD74	-0.39701388216071	0.196975158550967
CD81	0.0123883175792532	0.974958808737585
CD82	0.425480221968588	0.0782746003663788
CD84	0.228536902142359	0.4586781489145
CD97	-0.386295647471286	0.105400612863565
CD99	0.57447062757571	0.0755941161283857
CD99L2	0.528181802329057	0.140871741957336
CDC16	-0.22369479525093	0.364905354037426
CDC23	-0.0911741143390632	0.700043279103954
CDC27	0.110584763871334	0.509621976688215
CDC37	0.0966732260378649	0.583890797482091
CDC40	-0.0758509501980136	0.588716819797192
CDC42	-0.121690231884063	0.570952697121812
